City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Beira,MZ,87.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
7,Marzuq,YE,81.01,clear sky,14.4,46.4667,حيد القفلة
10,Kalmunai,LK,80.29,overcast clouds,7.4167,81.8167,VS Villa
18,Bandarbeyla,SO,82.62,few clouds,9.4942,50.8122,JABIR HOTEL
23,Hithadhoo,MV,81.72,broken clouds,-0.6,73.0833,Scoop Guest House
25,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le four à pain
33,Victoria,HK,84.18,clear sky,22.2855,114.1577,Mini Central
34,Maraba,BR,77.18,clear sky,-5.3686,-49.1178,Hotel Del Principe
39,Yarada,IN,88.12,haze,17.65,83.2667,Yarada Jungle Beach Resorts
47,Toamasina,MG,84.2,scattered clouds,-18.1667,49.3833,Hotel H1
48,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
49,Acarau,BR,78.46,broken clouds,-2.8856,-40.12,castelo pizzaria
53,Bani,DO,75.85,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
58,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
62,Mega,ET,75.87,clear sky,4.05,38.3,Amanuel Guest House
65,Tshela,CD,75.78,light rain,-4.9833,12.9333,Hotel Mirador
67,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
72,Kandiaro,PK,86.67,clear sky,27.0601,68.2091,"Village Hamid Ujjan, ڳوٺ حامد اڄڻ"
74,Itarema,BR,79.16,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
79,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Bengkulu,ID,80.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Xuddur,SO,88.54,clear sky,4.1213,43.8894,Banjanay Hotel
85,De Aar,ZA,78.96,scattered clouds,-30.6497,24.0123,Nyibiba Guesthouse
86,Lar,IN,83.21,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
87,Richards Bay,ZA,76.06,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
89,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
95,Santa Marta,CO,81.9,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
96,San Antero,CO,76.93,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
102,Ouricuri,BR,76.96,few clouds,-7.8825,-40.0817,Sertão Pousada
103,Soyo,AO,77.76,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
110,Sao Filipe,CV,78.4,few clouds,14.8961,-24.4956,Hotel Xaguate
113,Dingle,PH,77.23,light rain,10.9995,122.6711,SEGAYA PROPERTY
125,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
127,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
130,Mumford,GH,81.45,few clouds,5.2618,-0.759,Peace Guest House
140,Bonthe,SL,78.64,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
144,Buraydah,SA,75.65,overcast clouds,26.326,43.975,Mövenpick Qassim
146,Mamallapuram,IN,87.85,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
147,Anloga,GH,83.28,few clouds,5.7947,0.8973,Pin Drop Hotel
152,Barranquilla,CO,80.38,fog,10.9639,-74.7964,HOTEL AVANTY
155,Yenagoa,NG,84.06,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
156,Fomboni,KM,79.34,clear sky,-12.28,43.7425,Auberge les abou
164,Moth,IN,80.69,clear sky,25.7167,78.95,new vinod vivah ghar
166,Mecca,SA,86.43,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
168,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
179,Sur,OM,82.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
190,Coro,VE,76.93,overcast clouds,11.4045,-69.6734,Federal
192,Quelimane,MZ,87.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
194,Umm Lajj,SA,78.12,overcast clouds,25.0213,37.2685,Moon light Furnished Units
202,Tandalti,SD,86.54,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
205,Harare,ZW,83.37,clear sky,-17.8294,31.0539,Fife Avenue Hotel
207,Saint-Pierre,RE,79.92,broken clouds,-21.3393,55.4781,Alize Plage
210,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
212,Touros,BR,78.22,clear sky,-5.1989,-35.4608,INN NEW HORIZON
213,Cockburn Town,TC,81.48,clear sky,21.4612,-71.1419,Osprey Beach Hotel
214,Chake Chake,TZ,85.77,light rain,-5.2459,39.7666,Pemba Sea View Hotel
215,Mana,GF,76.06,overcast clouds,5.6592,-53.7767,LE SAMANA
219,Kanniyakumari,IN,82.49,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
224,Lucapa,AO,76.57,light rain,-8.4192,20.7447,Lírio Mendes
228,Maxixe,MZ,85.82,few clouds,-23.8597,35.3472,Oceano
232,Sao Raimundo Nonato,BR,77.7,overcast clouds,-9.0153,-42.6994,Real Hotel
236,Mucurapo,TT,77.02,light rain,10.6667,-61.5333,Courtyard by Marriott Port of Spain
243,Kulhudhuffushi,MV,82.06,scattered clouds,6.6221,73.07,Haajy Guest House 1
248,Itacoatiara,BR,75.65,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
249,Catamarca,AR,80.06,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
253,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
256,Ojhar,IN,82.87,clear sky,20.1,73.9333,Aurangabad Deogaon Rangari
259,Nchelenge,ZM,77.43,light rain,-9.3451,28.734,KD Travellers Home
261,Beterou,BJ,84.11,clear sky,9.1992,2.2586,Monastère de Kokoubou
262,Kasangulu,CD,77.88,moderate rain,-4.5911,15.1708,Hôtel le Relais
263,Am Timan,TD,89.78,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
264,Piacabucu,BR,77.18,broken clouds,-10.4056,-36.4344,Piaçabuçu News
266,Bajil,YE,89.26,clear sky,15.0584,43.2851,فندق حضرموت
269,Marsh Harbour,BS,77.85,few clouds,26.5412,-77.0636,Abaco Beach Resort
272,Asosa,ET,79.66,clear sky,10.0667,34.5333,Blendana Hotel Assosa
273,Atar,MR,80.33,clear sky,20.5169,-13.0499,Oumou Elghoura
275,Benguela,AO,79.48,broken clouds,-12.5763,13.4055,Hotel Praia Morena
278,Monrovia,LR,78.8,clear sky,6.3005,-10.7969,Sunset Inn
280,Polonnaruwa,LK,80.92,overcast clouds,7.9333,81.0,Thisara Guest House
284,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
286,Sao Jose Do Belmonte,BR,75.22,scattered clouds,-7.8614,-38.7597,Pousada Pedra do Reino
294,Jalingo,NG,89.76,scattered clouds,8.8833,11.3667,Debright Motel
296,Menongue,AO,88.2,few clouds,-14.6585,17.691,Ritz Lauca
304,Muli,MV,81.81,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
305,Odweyne,SO,81.37,scattered clouds,9.4092,45.064,Eng Hiirey House
309,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
312,Veraval,IN,87.46,clear sky,20.9,70.3667,Lords Inn Somnath
318,Hobyo,SO,84.67,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
322,Tabuk,PH,79.92,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
324,Beaufort,MY,81.21,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
326,Matara,LK,85.06,few clouds,5.9485,80.5353,Amaloh Boutique Resort
342,Kavaratti,IN,82.35,clear sky,10.5669,72.642,Green leaf
344,Ilebo,CD,82.04,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
349,Mogadishu,SO,85.87,scattered clouds,2.0371,45.3438,Hotel Juba
361,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
364,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
365,Kabompo,ZM,85.62,clear sky,-13.5927,24.2008,Big Tree
366,Bubaque,GW,81.86,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
369,Mbini,GQ,80.44,light rain,1.574,9.6134,Candy Vista Mar Mbini
371,Kudahuvadhoo,MV,81.66,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
373,Loiza,PR,75.18,few clouds,18.4313,-65.8802,Vacation Realty
379,Maragogi,BR,77.41,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
384,Kindu,CD,78.51,light rain,-2.95,25.95,Résidence Okanda
388,Bosaso,SO,82.38,clear sky,11.2842,49.1816,Red Sea Hotel
393,Dzaoudzi,YT,85.89,broken clouds,-12.7887,45.2699,Le Rocher
394,Loandjili,CG,78.91,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
399,Boa Vista,BR,75.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
404,Berbera,SO,84.22,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
412,Iranshahr,IR,82.74,clear sky,27.2025,60.6848,نیک سرشت
413,Caraballeda,VE,75.27,scattered clouds,10.6112,-66.8522,Ole Caribe
417,Hatillo,PR,76.86,moderate rain,18.4863,-66.8254,El Buen Hotel
418,Quatre Cocos,MU,78.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
419,San Pedro,PH,87.03,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
427,Palmas,BR,75.07,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
430,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
431,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
441,Mansa,IN,78.4,clear sky,29.9833,75.3833,STARiHOTEL Mansa
443,Banmankhi,IN,82.09,clear sky,25.8833,87.1833,AMITESH KUMAR SINGH
448,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
449,Saint-Paul,RE,79.36,few clouds,-21.0096,55.2707,Boucan Canot
453,Morondava,MG,82.78,clear sky,-20.2833,44.2833,La Case Bambou
454,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
455,Coruripe,BR,76.84,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
457,Garoua,CM,84.6,clear sky,9.3,13.4,Dreamland Hotel Annexe Bockle
459,Tamandare,BR,77.13,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
462,Lohardaga,IN,75.79,clear sky,23.4333,84.6833,Shorya Sweet Palace
464,Boromo,BF,82.04,scattered clouds,11.75,-2.9333,Sama Camp
468,Baripada,IN,84.29,clear sky,21.935,86.7214,Aparna Hotel
472,Cururupu,BR,75.42,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
474,Sambava,MG,79.09,light rain,-14.2667,50.1667,Melrose
477,Ugoofaaru,MV,81.86,few clouds,5.6667,73.0,Ungoofaaru Inn
483,Yabelo,ET,75.29,clear sky,4.8833,38.0833,Asnakech W/michael
484,Mporokoso,ZM,75.79,light rain,-9.3727,30.125,Kutemwa lodge
486,Malanville,BJ,82.71,few clouds,11.8685,3.3899,Hotel Sejour du Sahel
487,Maiduguri,NG,84.6,few clouds,11.8464,13.1603,Kagel Mari Police Station
494,Porbandar,IN,88.11,clear sky,21.6422,69.6093,Lords Inn Porbandar
495,Chimoio,MZ,85.48,clear sky,-19.1164,33.4833,Residencial Dabhad
500,Weligama,LK,85.21,clear sky,5.9667,80.4167,Weligama Bay Resort
503,Antalaha,MG,80.17,light rain,-14.9003,50.2788,Hotel Vitasoa
511,Eyl,SO,85.96,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
520,Tabou,CI,80.89,scattered clouds,4.423,-7.3528,hotêl doufoulougou
523,Gboko,NG,84.04,few clouds,7.3179,8.9951,Mavillah Apartment and Suites
527,Manavalakurichi,IN,82.33,overcast clouds,8.1333,77.3,Jebinrio home
528,Boke,GN,77.5,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
534,Mananara,MG,81.68,broken clouds,-16.1667,49.7667,Chez Roger
538,Marandahalli,IN,81.0,scattered clouds,12.4,78.0,NR BIRIYANI
539,Karwar,IN,87.28,clear sky,14.8,74.1333,Netalco Connects
541,Dabakala,CI,80.53,clear sky,8.3667,-4.4333,Mosquée
542,Srisailam,IN,80.56,scattered clouds,16.0833,78.8667,Vasavi Satram
548,Takoradi,GH,81.52,few clouds,4.8845,-1.7554,Raybow International Hotel
554,Makokou,GA,78.85,light rain,0.5738,12.8642,Hôtel Arizona
560,Munak,IN,76.91,clear sky,29.5187,76.8486,RAJPUT Dharamshala
570,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
573,Hlotse,LS,77.09,clear sky,-28.8718,28.045,Naleli Guest House
578,Kabwe,ZM,83.97,clear sky,-14.4469,28.4464,Tuskers
580,Ambovombe,MG,81.28,scattered clouds,-25.1667,46.0833,RELAHARA
588,Petauke,ZM,89.06,few clouds,-14.2426,31.3253,Kwamwanja Wanthu
589,Sinnamary,GF,75.61,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
591,Savannah Bight,HN,81.09,moderate rain,16.45,-85.85,Villa on Dunbar Rock
598,Mahanoro,MG,79.3,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
601,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Beach Rotana
608,Kasungu,MW,82.62,scattered clouds,-13.0333,33.4833,Mame Motel
613,Kolondieba,ML,81.68,broken clouds,11.0882,-6.8926,Park
617,Bundibugyo,UG,79.77,light rain,0.7414,30.0417,R.A. Kaliisa Accomodations
620,Angoche,MZ,85.64,overcast clouds,-16.2325,39.9086,Guest House HESADA
624,Meulaboh,ID,82.06,overcast clouds,4.1363,96.1285,Kost Pria
626,Kuruman,ZA,86.99,clear sky,-27.4524,23.4325,A HOTEL KURUMAN
630,Alhandra,BR,75.42,few clouds,-7.4386,-34.9144,Hotel E Pousada Central
640,Lethem,GY,75.69,overcast clouds,3.3803,-59.7968,Savannah Inn
641,Aden,YE,81.45,clear sky,12.7794,45.0367,Sama Emirate Hotel
642,Mattru,SL,77.04,few clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
645,Nanga Eboko,CM,83.43,light rain,4.6833,12.3667,Motel Papi Palace
649,Chabahar,IR,81.46,clear sky,25.2919,60.643,هتل گدروشیا
660,Savelugu,GH,83.73,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
666,Canto Do Buriti,BR,78.67,broken clouds,-8.11,-42.9444,Novo Hotel
673,Mizan Teferi,ET,77.13,light rain,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
